NAME,STATE,ANNUAL
Lajedo do Tabocal,BAHIA,4920
Itiruçu,BAHIA,4862
Jaguaquara,BAHIA,4888
Presidente Tancredo Neves,BAHIA,4794
Taperoá,BAHIA,4931
Cairu,BAHIA,5050
Santa Maria da Vitória,BAHIA,5861
São Félix do Coribe,BAHIA,5861
Botuporã,BAHIA,5826
Paramirim,BAHIA,5859
Érico Cardoso,BAHIA,5780
Ibicoara,BAHIA,5095
Maracás,BAHIA,4972
Itaquara,BAHIA,4854
Cravolândia,BAHIA,4857
Valença,BAHIA,5078
Correntina,BAHIA,5849
Bom Jesus da Lapa,BAHIA,5904
Caturama,BAHIA,5853
Abaíra,BAHIA,5315
Iramaia,BAHIA,5075
Planaltino,BAHIA,4986
Irajuba,BAHIA,4847
Santa Inês,BAHIA,4856
Ubaíra,BAHIA,4836
Jiquiriçá,BAHIA,4814
Piatã,BAHIA,5265
Mutuípe,BAHIA,4801
Laje,BAHIA,4884
Canápolis,BAHIA,5827
Sítio do Mato,BAHIA,5906
Rio do Pires,BAHIA,5853
Brejões,BAHIA,4920
Aratuípe,BAHIA,5058
Jaguaripe,BAHIA,5221
Santana,BAHIA,5884
Macaúbas,BAHIA,5880
Mucugê,BAHIA,5065
Itaeté,BAHIA,5112
Marcionílio Souza,BAHIA,5166
Nova Itarana,BAHIA,4902
Amargosa,BAHIA,4994
São Miguel das Matas,BAHIA,4898
Varzedo,BAHIA,4939
Santo Antônio de Jesus,BAHIA,4992
Muniz Ferreira,BAHIA,5036
Nazaré,BAHIA,5048
Vera Cruz,BAHIA,5327
Salvador,BAHIA,5365
Ibipitanga,BAHIA,5928
Milagres,BAHIA,4954
Elísio Medrado,BAHIA,4990
Dom Macedo Costa,BAHIA,5046
Salinas da Margarida,BAHIA,5312
Itaparica,BAHIA,5345
Lauro de Freitas,BAHIA,5249
Serra Dourada,BAHIA,5894
Boquira,BAHIA,5908
Novo Horizonte,BAHIA,5739
Andaraí,BAHIA,4988
Nova Redenção,BAHIA,5005
Iaçu,BAHIA,5027
Santa Teresinha,BAHIA,4945
Castro Alves,BAHIA,4948
Conceição do Almeida,BAHIA,5039
São Felipe,BAHIA,5046
Maragogipe,BAHIA,5124
Simões Filho,BAHIA,5091
Tabocas do Brejo Velho,BAHIA,5879
Paratinga,BAHIA,5913
Ibitiara,BAHIA,5775
Boninal,BAHIA,5469
Boa Vista do Tupim,BAHIA,5031
Itatim,BAHIA,4998
Cruz das Almas,BAHIA,5050
Sapeaçu,BAHIA,5050
Saubara,BAHIA,5311
Madre de Deus,BAHIA,5218
Candeias,BAHIA,4983
Camaçari,BAHIA,5050
Lençóis,BAHIA,5048
Ibiquera,BAHIA,5015
